,city,lat,lon,temp,wind_speed,humidity %,cloudiness %
0,Avarua,-21.21,-159.78,77.0,10.29,73,88
1,Bredasdorp,-34.53,20.04,50.0,7.16,87,0
2,East London,-33.02,27.91,64.4,6.93,34,0
3,Emmett,43.87,-116.5,79.05,14.65,34,1
4,Fagernes,60.99,9.24,53.01,3.31,81,100
5,Thompson,55.74,-97.86,66.2,3.36,93,90
6,Ayan,38.23,44.7,54.69,0.74,50,0
7,Kortkeros,61.81,51.56,51.91,8.95,100,75
8,Hobart,-42.88,147.33,51.15,10.29,50,75
9,Kodiak,39.95,-94.76,68.5,10.29,77,90
10,Benito Juarez,22.29,-79.63,75.2,2.24,94,72
11,Hilo,19.71,-155.08,76.5,8.05,65,75
12,Rikitea,-23.12,-134.97,70.25,21.27,69,64
13,Severo-Kurilsk,50.68,156.12,48.79,43.66,90,100
14,Dingle,11.0,122.67,85.87,6.87,70,100
15,Along,28.17,94.8,77.03,3.6,49,0
16,New Norfolk,-42.78,147.06,51.15,10.29,50,75
17,Albany,42.65,-73.75,62.35,6.93,63,75
18,Bluff,-23.58,149.07,72.46,2.98,40,4
19,Vila Franca do Campo,37.72,-25.43,70.47,13.87,94,75
20,Port Alfred,-33.59,26.89,62.01,7.05,50,0
21,Jamestown,-33.21,138.6,49.51,7.43,58,90
22,Ribeira Grande,38.52,-28.7,69.51,15.35,79,5
23,Vaini,15.34,74.49,72.52,9.17,88,40
24,Ushuaia,-54.81,-68.31,41.0,3.36,80,20
25,Luanda,-8.83,13.24,68.0,2.24,100,40
26,Bambous Virieux,-20.34,57.76,69.64,8.05,83,40
27,Atuona,-9.8,-139.03,79.43,13.13,70,0
28,Kloulklubed,7.04,134.26,78.8,12.75,83,90
29,Butaritari,3.07,172.79,84.92,6.91,68,81
30,Iqaluit,63.75,-68.52,46.2,10.29,81,40
31,Bethel,60.79,-161.76,62.6,4.7,48,40
32,Talnakh,69.49,88.39,57.2,6.71,87,75
33,Vanimo,-2.67,141.3,83.01,8.46,72,99
34,Sorland,67.67,12.69,53.72,25.19,95,100
35,Punta Arenas,-53.16,-70.91,39.09,6.93,80,0
36,San Pedro de Macoris,18.46,-69.3,78.46,4.7,88,40
37,Matagami,9.67,8.4,66.02,2.71,97,100
38,Capinopolis,-18.68,-49.57,69.51,8.03,33,0
39,Puerto Ayora,-0.74,-90.35,71.01,5.01,92,89
40,Guerrero Negro,27.97,-114.04,74.66,9.62,79,4
41,Ust-Tsilma,65.44,52.15,43.05,5.21,89,97
42,Georgetown,6.8,-58.16,73.4,4.7,100,0
43,Petropavlovsk-Kamchatskiy,53.05,158.65,51.8,6.71,87,90
44,Gharo,24.74,67.58,84.2,5.82,70,75
45,Cayenne,4.94,-52.33,75.2,2.28,100,0
46,Port Elizabeth,39.31,-74.98,63.14,3.4,87,1
47,Cape Town,-33.93,18.42,55.81,9.17,93,20
48,Klaksvik,62.23,-6.59,51.8,14.99,93,34
49,Arraial do Cabo,-22.97,-42.02,66.9,4.76,81,86
50,Bemidji,47.48,-94.89,61.74,10.29,82,1
51,Yatou,3.63,9.81,73.4,2.24,100,75
52,Ishigaki,24.34,124.16,84.2,17.22,94,75
53,Port-Gentil,-0.72,8.78,75.27,11.7,87,96
54,Saldanha,41.42,-6.55,67.1,2.28,46,75
55,Kudahuvadhoo,2.67,72.89,82.79,6.93,67,100
56,Santa Rosa,-36.62,-64.29,53.99,10.76,72,14
57,Hermanus,-34.42,19.24,55.99,5.99,83,1
58,Castro,-42.48,-73.76,42.8,5.82,100,90
59,Chokurdakh,70.62,147.9,56.82,4.34,85,100
60,Kanniyakumari,8.08,77.57,79.17,14.03,85,100
61,Loa Janan,-0.58,117.09,83.03,6.91,80,77
62,Fairbanks,64.84,-147.72,56.05,4.7,26,1
63,San Ramon,12.92,-85.84,66.36,4.56,96,40
64,Ahipara,-35.17,173.16,60.01,1.01,89,91
65,Mataura,-46.19,168.86,48.99,1.99,96,100
66,Rio Gallegos,-51.62,-69.22,35.6,4.7,76,40
67,Sinnamary,5.38,-52.96,82.38,7.05,71,1
68,Fairview,56.07,-118.38,59.0,5.82,67,40
69,College,64.86,-147.8,57.33,4.7,26,1
70,Giyani,-23.32,30.73,58.47,3.22,50,0
71,Yellowknife,62.45,-114.38,59.0,8.05,62,20
72,Filadelfia,-22.35,-60.04,73.81,7.54,49,0
73,Nyurba,63.29,118.35,65.67,3.71,59,0
74,Barrow,-38.31,-60.23,53.22,14.47,79,68
75,Abha,18.22,42.5,64.47,2.82,77,5
76,Busselton,-33.64,115.35,61.63,8.3,36,0
77,Raudeberg,61.99,5.14,63.91,24.16,77,100
78,Hithadhoo,-0.6,73.08,82.49,11.27,72,100
79,Swellendam,-34.02,20.44,50.0,4.18,87,0
